,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Caloriile (kCal),0.8899034325656965,0.9724391087558101,0.9747533745318565,0.9849675733975014,0.9892540583236341,0.9957285801336614,0.9962006545390681,0.9962031963044017,0.9969896226073439,1.000000000000002
Proteine (g),0.8766847690878656,0.8985496224751348,0.9044571063756212,0.918138197444821,0.9214078188022348,0.9563544239901643,0.9932765443120285,0.9946851619364735,0.9998533670037095,1.0000000000000038
Grasimi totale (g),0.9263734195420744,0.9275241685735587,0.9319080467156837,0.9530091548023281,0.9599430137754154,0.9601532504843734,0.9647743274469439,0.9979614848617199,0.9997749896737056,1.0000000000000016
Grasimi saturate(g),0.7013993496808192,0.7124972641211312,0.7451234342064208,0.7880676847504682,0.9860493977828384,0.9871659151045606,0.9901183206997601,0.9993627848226917,0.9999747048364681,1.0000000000000033
Grasimi nesaturate (g),0.01119029350118872,0.04266690102741007,0.9657100484685287,0.9796220893106254,0.9925646621842371,0.9989325172855296,0.9991773965501247,0.9999633200306395,0.9999919122665377,1.000000000000001
Colesterol (mg),0.3087010692845332,0.3493816110849253,0.40696707755946265,0.9835055326380693,0.9895372437133549,0.9982777142852038,0.999913488583203,0.9999660099360289,0.9999982959018223,1.0000000000000004
Carbohidrati totali (g),0.36434225948799986,0.8937678715166968,0.8963128640107633,0.9038630255698735,0.9347219666565187,0.9959889686510475,0.9964952132691145,0.9987421918173961,0.9991512658149415,1.0000000000000002
Zaharuri totale (g),0.03717039245658795,0.9170303490364969,0.9237012842955132,0.9436770377833275,0.9650255627800707,0.9675540054108616,0.9822508383534302,0.9870383029153227,0.9999956465147279,0.9999999999999994
Zaharuri adaugate (g),0.06120186086658165,0.8914708805593229,0.9058279072927866,0.9393713449300746,0.9408814072952209,0.9719241153328432,0.9907084233886103,0.9915559625329299,0.9999986657189559,0.9999999999999992
Sodiu (mg),0.8540634234627504,0.8635983298660045,0.8706741430572569,0.8707949082983495,0.9549448712322968,0.9723735241183885,0.9817449260092106,0.9826296693902773,0.9999819868378363,1.0000000000000009
