Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
McVeggie™ Burger,0.002314302295369434,0.0001074097492009177,3.288273591576139e-06,0.007217290447662561,0.015331008367309662,0.01574488521510191,0.0006818052893062291,0.006938364151452924,0.0003620119029722016,0.006742824412448016
McAloo Tikki Burger®,0.0005861561732126797,2.3818905789981618e-06,7.279479421614368e-08,0.005527796463384593,0.01205315168872644,0.015612845945553601,0.0009690800384876416,0.005625823940115601,0.0017555867477031285,0.01071379804599731
McSpicy™ Paneer Burger,0.03087037003451679,0.00024507616393905043,5.6721920640280476e-05,0.021443018397548978,0.009193193143278886,0.002927540208196499,0.010632878127580096,0.03252012119726927,0.01716775958709408,0.03401681325101344
Spicy Paneer Wrap,0.038182042392398696,2.2682426236933793e-05,0.0007166035290493854,0.019662992719998062,0.01706438385093839,0.0006600028419347086,0.014058276381260112,0.0017697916558403453,0.018931809509941108,0.001954452540849435
American Veg Burger,0.012694205766631673,0.00012727890314656566,3.6461767389497984e-05,0.007338137456789649,0.0032615385123458264,0.001814679226551571,0.002642593645370549,0.0017865061241177137,0.0004517948352844574,0.0006746276814496601
Veg Maharaja Mac,0.053891253702063206,0.0061733071345111004,1.8715444638720218e-05,0.01909628199522357,0.004536640161143741,0.016047389929462655,0.0012376359965514739,0.0030188035405119833,0.0027116096468841884,0.002422382884819682
Green Chilli Aloo Naan,0.0014254462813458604,0.0002961814661321222,5.817465063884121e-05,0.0068076639305100954,0.003941608624618333,0.01629476255257837,0.0009494284330047252,0.0003403568157828407,0.0004853156884450655,0.001578329387199911
Pizza Puff,2.8427751205656063e-06,0.002730158560492266,0.00016269190236479852,0.004982711341772881,3.7010303720974545e-08,0.001009309748642772,0.0035399842927431656,2.0843146163483593e-05,3.416029985460416e-06,0.0006352064700775957
Mc chicken Burger,0.004238056562532573,0.0001679751425650666,9.178374798221195e-06,0.0008324185289124836,0.012718011735871941,0.001146534964824067,0.005049261751478475,0.0034444946287435444,0.008869226060812686,0.0041379779223456375
FILLET-O-FISH Burger,0.002211443773456905,0.000729098235589479,6.783579159671415e-05,0.00033645981059851165,0.0026892524015462494,0.00011756800633705371,0.012153668536177527,0.0025497182535926697,0.023010274923241827,0.0010389219818346628
Mc Spicy Chicken Burger,0.01063755368575108,0.0004087839092093128,0.0001539785226398017,0.00048175558288805043,0.006458859342949431,0.001008828538460316,0.010003934544488354,0.004013953510170696,0.011837844279187425,0.001448530808271695
Spicy Chicken Wrap,0.026129494773716146,0.0003380459713205153,0.0008260201905779137,3.2257199501332236e-05,0.0007475448706445133,0.0007247239197270524,0.00050854258813903,0.00828057004063234,0.008771658214538692,0.009197834999502457
Chicken Maharaja Mac,0.04785778114772798,7.140948796242426e-06,0.00013000208612783763,0.00013913410461302816,0.028407156007534712,0.04626892300197526,0.007879307411871475,0.02024723194921582,5.3735636732701845e-08,0.0008538532779396323
American Chicken Burger,0.010871853017620572,0.0006065841990126129,1.9063182833128648e-06,0.00010691630015371024,0.009248030679990995,0.013418065194774408,0.0010214627711407408,0.0047491209130575,8.369607002128291e-05,0.00165045259319708
Chicken Kebab Burger,0.0009832283823619865,7.746718756515257e-05,1.2489878491493286e-06,0.007080541883432215,0.00894082447565118,0.013227948414649101,2.1279426165196623e-06,0.00044249805512362516,0.005846202037298569,0.0011834476158946274
Green Chilli Kebab naan,5.432666673135441e-05,0.0018687348799764191,4.3178488710410254e-05,0.002476275615740673,0.004558518656060745,0.005168255599005438,0.00028560026145536973,0.00010160004314767217,3.903653278830036e-05,0.0008200232387973208
Mc Egg Masala Burger,0.0042764540453814155,0.004189909603171441,0.005189238687574891,0.0937037000789745,0.0024347810093200465,0.019407626284578927,0.01389552990480826,0.0003865835205607417,0.0028348340360091952,0.0010119971748663427
Mc Egg Burger for Happy Meal,0.0026837239765763582,0.0042062999208453975,0.005962131728175961,0.09482497477480414,1.7992335582440308e-05,0.03255578316285253,0.003134046497073514,0.003505929456990041,0.014406079414220986,0.01034049785060488
Ghee Rice with Mc Spicy Fried Chicken 1 pc,0.04146572086681215,3.421700538597893e-05,0.0012545863202906972,0.005910385210998598,0.1836473468704315,0.002695462843855762,4.1323623323570545e-05,0.00038921543842830597,0.10428308962531037,0.000775758310637418
McSpicy Fried Chicken 1 pc,0.0011505673940994672,0.00774647324449909,1.8660227099397807e-05,9.517056552314534e-06,0.01328727283361093,0.039346769900745066,0.005576177033809361,0.0047001205721031065,9.648638827594851e-05,0.0016483234331132776
4 piece Chicken McNuggets,0.00010082066013587774,0.0071108784764852195,0.00022990483925031506,0.00016334420475758594,6.544223770369294e-05,0.005924079890079526,0.0008562658063251603,7.8741702395976e-06,0.00752909683186744,0.0023394717089990926
6 piece Chicken McNuggets,0.0009304704852060667,0.006062374583040872,0.0002817702429368396,9.770894483254493e-05,0.00044379520560140095,0.010922155006919987,0.003755803621311713,2.4340279006851708e-05,0.016360489605486767,0.0025706057360670035
