Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
McVeggie™ Burger,0.4466958584593453,0.0100460135082184,0.00013328342027014775,0.20478351454991667,0.2172204749362328,0.10276316514034137,0.0023595874911708347,0.01422731879079033,0.0006611292312686375,0.0011096544724454806
McAloo Tikki Burger®,0.20104456822730685,0.00039587586273837267,5.243190870609989e-06,0.2787147890610232,0.30347143712094354,0.1810786336212864,0.005959674327161632,0.020499311319036574,0.005697350839836223,0.0031331164297966644
McSpicy™ Paneer Burger,0.8658158865432363,0.0033307574220927012,0.0003340803925910235,0.0884094324208482,0.01892728396445396,0.0027764682857554486,0.005347101528126039,0.009689692698487356,0.004555845705170005,0.0008134510392391618
Spicy Paneer Wrap,0.8887670749215647,0.0002558447588722576,0.00350287055745324,0.06728331638876107,0.029157991972451357,0.0005194942453780599,0.0058673873258508,0.0004376481314912351,0.004169582749513956,3.878894866315903e-05
American Veg Burger,0.8930608188204482,0.0043390049118101235,0.0005386784017019079,0.07589100676610236,0.016843650126492457,0.0043169945811681095,0.0033334179359718083,0.0013352240464234472,0.00030073808749618406,4.046632238559761e-05
Veg Maharaja Mac,0.8885399800951935,0.049321330854602635,6.480002609429457e-05,0.046284595796254685,0.005490744286641733,0.008946830835038992,0.0003658773276893494,0.0005287710515850793,0.00042301671315052536,3.405301374940815e-05
Green Chilli Aloo Naan,0.4133094335834659,0.04161410480804361,0.0035422123338000695,0.2901693520499688,0.08389501587311624,0.15976389222862866,0.00493594799673132,0.0010484145706119463,0.0013314365124211997,0.00039019004321219197
Pizza Puff,0.0012975706600531025,0.6038576838958797,0.015594476235565077,0.3343360511319288,1.2400790156819602e-06,0.015578265906347144,0.02897168304682946,0.00010107085010543447,1.4753051367689075e-05,0.00024720514290786096
Mc chicken Burger,0.7526715816589835,0.01445579577205237,0.00034231103746976295,0.02173248948303676,0.16580445292860815,0.006885448071307443,0.016078685274703425,0.006498878468026694,0.014903770829858866,0.0006265864759529633
FILLET-O-FISH Burger,0.6714684162416197,0.10727387051083463,0.004325386591122686,0.0150179914670407,0.05994037440977678,0.0012071047949944323,0.06616692544373245,0.008224623275385846,0.06610634788193491,0.00026895938355794564
Mc Spicy Chicken Burger,0.9028425994496281,0.01681211242577342,0.002744395954680101,0.006010713157444694,0.04024058659220266,0.002895301334451992,0.015223867602760678,0.0036192347176154387,0.009506366849946627,0.00010482191549654735
Spicy Chicken Wrap,0.9772121628511624,0.006126209314265634,0.006487313095870664,0.0001773427671820254,0.0020522644184375926,0.0009165086756946294,0.0003410115270658522,0.003289972135594191,0.003103925020408479,0.0002932901943184128
Chicken Maharaja Mac,0.921831770818322,6.665200942230105e-05,0.0005258547224762073,0.00039396866368993246,0.04016659962928284,0.030136626571209916,0.002721266258059779,0.0041432286792460705,9.793392967772305e-09,1.4022854897993922e-05
American Chicken Burger,0.8777908395080118,0.02373213338309381,3.232207469838304e-05,0.0012689963204274013,0.05481190953083884,0.036633929321895,0.0014787470592515196,0.00407356670562238,6.393875968037034e-05,0.00011361733648035894
Chicken Kebab Burger,0.30472772455799624,0.011634120744835903,8.128906343745466e-05,0.3225915799024711,0.20341048228489508,0.13862966963155735,1.1825005562816519e-05,0.001456944679488406,0.01714364051404,0.0003127236157156342
Green Chilli Kebab naan,0.029371918482056888,0.48958168438905264,0.004902335582166409,0.19681001993235958,0.18091775495936166,0.09448641520816597,0.0027686096921086135,0.0005835623718938765,0.00019969268715232274,0.0003780066956820921
Mc Egg Masala Burger,0.19187896763569512,0.09109749446283885,0.04889489922774428,0.6180580583132007,0.008019396151725668,0.029445715928554383,0.01117898970446945,0.0001842727147334461,0.0012034910680519457,3.871479298604203e-05
Mc Egg Burger for Happy Meal,0.12626667794642385,0.09589795796674953,0.0589072596316629,0.6558471162652747,6.21407727063837e-05,0.05179468413793294,0.0026438707668286327,0.001752379706039954,0.006413105464639705,0.00041480734174134654
Ghee Rice with Mc Spicy Fried Chicken 1 pc,0.7251911708567332,0.00028997696609430016,0.004607657405063463,0.015195256813838551,0.23576869793696437,0.0015940530523439577,1.2958226343449937e-05,7.231484839337958e-05,0.017256346279843973,1.1567614381265065e-05
McSpicy Fried Chicken 1 pc,0.15616324307437338,0.5094821791972742,0.0005318633031709441,0.00018988837429518296,0.13238561831226767,0.18058512586107678,0.01357022941401052,0.006777193561940069,0.0001239094634477599,0.00019074943814342176
4 piece Chicken McNuggets,0.02576794106618649,0.8806668601266042,0.012339416942933674,0.006137095507574373,0.0012277968680892057,0.051198498193556624,0.003923942751354696,2.1380069632221483e-05,0.018207265861125744,0.0005098026129425683
6 piece Chicken McNuggets,0.20368602132146071,0.6430720080862279,0.012952991906113308,0.0031442850868452416,0.00713147604693571,0.08084870957870541,0.014741625663908303,5.6605458031111714e-05,0.03388649018683324,0.0004797866649391875
9 piece Chicken McNuggets,0.6910187248449816,0.18625193634376067,0.006570120986750386,0.0003819210366413642,0.0098886643548565,0.05959627643250059,0.017777716010793334,4.795270662823849e-05,0.028267277907769978,0.00019940937531730615
2 piece Chicken Strips,0.03595870977907648,0.5179561322836637,0.02829465270766997,0.02679661280785752,0.21750756787919617,0.12449550166472208,0.02384283800925927,0.02211844063498903,0.0029995126061349345,3.0031627430772232e-05
3 piece Chicken Strips,0.3047632177709831,0.23082329265900878,0.02345324577555638,0.020069629941276822,0.2513819311712408,0.12221776432099393,0.019987402634935897,0.023794861769144495,0.003391285843806038,0.00011736811305386337
5 piece Chicken Strips,0.04429538068940121,0.06668550494598847,0.8745756865329807,0.009464497000761012,0.003971404502037229,0.0009358949722839296,3.6455413400261976e-05,3.477145567348661e-05,4.0444640804226e-07,4.1065738883322345e-11
Regular Fries,0.08821337695411724,0.419829396709579,0.017534269843405493,0.29553033335765927,0.0016732529872851714,0.1207621906431947,0.01591767015200614,3.8866641786140023e-05,0.038844346621269725,0.001656296089697136
Medium Fries,0.05706572647204651,0.14890557144670633,0.019005472840911336,0.44560132865018764,0.007569202974562316,0.23584880374482434,0.017853297558874753,5.031444297272552e-05,0.06611799863978914,0.0019822832291249656
Large Fries,0.3786699662691519,0.0026267595432215942,0.010252521627576125,0.326455138068794,0.00991367502016387,0.20776277011646585,0.01007045523505657,3.758407093452744e-05,0.05301673710052257,0.001194392948113039
Regular Wedges,0.12347055664402024,0.46286019494437425,0.007504887606224423,0.20755160644985157,0.09124712431510379,0.07983719947699239,0.010892682809257271,0.01636938400700417,0.00022131386991730011,4.5049877254564444e-05
Medium Wedges,0.018372733884751472,0.24066676681579582,0.007337465573500087,0.3517633178488898,0.15440384921040679,0.18112190257875824,0.013062563180508444,0.03258106797624095,0.000340966225584215,0.0003493667055641267
Large Wedges,0.34521052497037935,0.0174259298649136,0.003087762877614984,0.28607061811250484,0.12508554113679068,0.18443729592693742,0.007470038799568603,0.03036968822469301,0.00024156904584943418,0.0006010310407481776
L1 Coffee,0.6413120984615697,0.3470769931015472,0.002371454925606194,0.00458716007048583,0.002682398950437447,0.0002788217966532272,0.0015137106250847508,2.5652231635573574e-05,5.879851817125323e-05,9.291131880884052e-05
L1 Coffee with milk,0.6150067356485799,0.37287744759366687,0.003450060582152319,0.0033153783956194503,0.0009503419548532716,0.001735795102326169,0.00041320248362212693,0.0009731350180817599,0.0002793977483754005,0.000998505472722789
Double Chocochips Muffin,0.1329315168805471,0.09436873759316909,0.004894877195053421,0.12454037561590206,0.10646564752573667,0.1375233255738659,0.06324866267459994,0.19342328165479017,0.13662667942603257,0.00597689586030315
Vanilla Chocochips Muffin,0.14489195904283447,0.035016762715555046,0.05400581257904528,0.08960777907332593,0.15696187657731647,0.2589164640829225,0.020709988774731503,0.11879973040276269,0.11400126836889524,0.007088358382610811
Veg McMuffin,0.5139716650443157,0.17931177211054886,0.01297907016750058,0.09315781444983513,0.06934178319925734,0.010159165997308163,0.011304038818107962,0.07832523632199861,0.02723927969674533,0.004210174194382431
Double Cheese McMuffin,0.41966571601766794,0.38615546436480636,0.04235308067618338,0.04063695888317127,0.017257633595653677,0.00031226650509842176,0.032064367429072704,0.052102515586895035,0.008058324860466877,0.0013936720809842658
Spicy Egg McMuffin,0.17040714550613995,0.12756642205557692,0.05158536095657351,0.5873974952654325,0.009692369649051822,0.03642528323933861,0.01383985423180818,0.00012730235353382218,0.0029122039385899847,4.656280395463456e-05
Sausage Mc Muffin,0.4424575618323193,0.37453806669942674,0.01428116667165889,0.01659492540420188,0.05052713212035529,0.026938785579293613,0.020995821546688873,0.05153872003558088,6.598774310613213e-06,0.002121221336163897
Sausage Mc Muffin with egg,0.3172199707824964,0.10070028850307533,0.047572560102527806,0.5235341405542833,0.004717265756463529,0.0020529543475934385,7.66740084976458e-05,0.0013874053831945282,0.00043270046350244617,0.002306040098365789
Egg McMuffin,0.19275603408732517,0.12111053341032375,0.06725295326792835,0.5713342429814378,0.01099917460194282,0.02975586463369032,0.004780642445991367,0.0012016058970012124,0.0007242701558192715,8.467851853992202e-05
Hot Cake with maple syrup,0.386805529838777,0.4306653253877815,8.807737301193589e-05,0.014691199843563733,0.028375829560406907,0.12327257146929732,0.002413515177004324,0.004017469635314123,0.007859712438518254,0.001810769276324888
Hash Brown,0.30265570690360377,0.5355271863456541,0.006783887988037731,0.11113065031623694,0.0037875680522408777,0.004824521987260336,0.034101736679544935,4.080423449135755e-05,0.0007789776169697889,0.000368959875960116
Espresso,0.6369050417720279,0.35176718208315233,0.0022303955249393334,0.00453035675494884,0.003291822620351521,0.0002543070672152022,0.0005760253199399838,0.00011826399600628768,0.00025201344738672276,7.459141403183172e-05
Espresso Machiato,0.5895152226004573,0.399895727075197,0.004409006937566851,0.005041439059365497,0.00018625385167118057,0.0007001590770979712,2.7350195228233175e-07,4.369055805099216e-05,0.00014726259510025472,6.0964743540757035e-05
Americano (S),0.6369050417720279,0.35176718208315233,0.0022303955249393334,0.00453035675494884,0.003291822620351521,0.0002543070672152022,0.0005760253199399838,0.00011826399600628768,0.00025201344738672276,7.459141403183172e-05
Americano (R),0.6353680663199867,0.3510078633703436,0.0022532818508068896,0.00509716677406342,0.005030630769408925,1.8574164488141134e-08,8.236117226958166e-05,0.0004212385814726057,0.0007002538175784945,3.911876990518347e-05
Americano (L),0.6344871122877326,0.3505979978031328,0.0022499929513230344,0.005329149061943613,0.005747971792051171,3.8682042847622714e-05,1.266375377846042e-05,0.0005842943977485992,0.0009245688124607684,2.7567096981375027e-05
Cappuccino (S),0.29368346649765265,0.5475688674456591,0.021557935305157955,0.00646640074836869,0.11294149164698183,0.005127482824965477,0.012435017565885836,0.0001805209726434554,3.125061942805486e-05,7.566373256917386e-06
Cappuccino (R),0.016837451074874443,0.4763309741374116,0.04396744935067223,0.006607815854588713,0.3866217451839792,0.005504429284309957,0.06385571420108424,0.00017798043476322453,1.1647271810719098e-05,8.479320650564028e-05
Cappuccino (L),0.04044725838604345,0.2779056302611832,0.04757501055894008,0.004224367731888175,0.5324642427783618,0.00524409371915408,0.09157325256826232,0.0002787651391933866,5.441204019565451e-05,0.00023296681677789042
Latte (S),0.1576968251521166,0.5513934284399282,0.030694421294683544,0.006344449131773594,0.22056478628314918,0.007851396985091014,0.02477082558152022,0.0004875519122801356,0.00019631067945041173,4.540006988501687e-09
Latte (R),0.004257004359674535,0.44253937612108674,0.04572343523890941,0.006169915266061558,0.4260100682500163,0.005937671456275363,0.06899061960646077,0.00023379810540101673,3.636355947566393e-05,0.00010174803663880603
Latte (L),0.09244302934967898,0.20665249297574945,0.045481831731569985,0.0030982850747673716,0.5527957234033769,0.005453057629356389,0.09329903974915851,0.00039710538034594726,0.00013066483641093396,0.0002487698695857031
Flat White (S),0.05594162177065694,0.510122415703894,0.0386669071688546,0.005705914506398079,0.33932092578926115,0.010334728861870257,0.03857361493393793,0.0008590256406221736,0.0004692784546313699,5.567169873417766e-06
Flat White (R),0.03245667882942846,0.2886672791741458,0.047329796181060285,0.0039521177502038155,0.5361418820859294,0.007081894819546265,0.08343501249200971,0.0005512223891790954,0.00021596009303308293,0.00016815618546422878
Flat White (L),0.18362541950172212,0.12338647678826817,0.04086759676893841,0.0018548361798666581,0.5533167786793584,0.005412620357142913,0.09045453892946531,0.0005551632803000373,0.0002577655289827671,0.0002688039859552926
Mocha (S),0.3014926478298525,0.11523639020746636,0.03717540428322994,0.0006622468184681162,0.42357120313266555,0.004902480331389944,0.1127131714800718,0.0006247157404993938,0.0033190648084873518,0.00030267536786904124
Mocha (R),0.0038968802713750346,0.14021582484446304,0.026839692182597238,0.001985172407223028,0.571697685678273,5.9516603993479327e-05,0.2501254211482075,3.6401977940413735e-06,0.003417401157225604,0.0017587655088481702
