Produs,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
McVeggie™ Burger,1.2812918524488681,0.19214937689689776,0.022132484361726552,0.8675401789235475,0.8934957293202869,0.6145551149794731,0.09312368307936336,0.22866707314599904,0.04929300351629212,-0.06386103979817165
McAloo Tikki Burger®,0.6448291963755577,-0.028613964403692974,0.003293035063822765,0.7592390340537758,0.7922412144552453,0.6119728081142404,0.11102218877113403,0.2059055992360233,0.10855129354769777,-0.08049831469731977
McSpicy™ Paneer Burger,4.679602228649059,0.29024695095157277,-0.09192246410296182,1.4953589873032584,-0.6918951923851189,-0.2649979550434866,-0.36775228441811986,-0.4950523950644337,0.3394537944357768,0.1434372245327904
Spicy Paneer Wrap,5.2043632230296755,0.08830023976300667,-0.32672748142240515,1.4319482246188124,-0.9426542426993298,0.12582414589627897,-0.42285941020147816,-0.11548781370705345,0.35646748261979844,0.03438172203168536
American Veg Burger,3.000825822757076,0.20916804690538449,-0.07369958659739016,0.8747731156876688,0.4121149564715598,0.20863685239400936,-0.1833349034967851,0.11603188372709426,-0.0550673892625901,-0.020199803229315645
Veg Maharaja Mac,6.182970365531748,1.4567199616804551,-0.052801500995188114,1.411162138345766,0.4860425461315446,0.6204307166899924,-0.1254661082993437,0.1508316609737558,0.13490791840907354,-0.03827687333085148
Green Chilli Aloo Naan,1.0055726417998145,-0.3190774176055796,-0.0930921553643088,0.8425614021635616,0.45304763794865277,0.6251944390341669,-0.10989073494430363,0.05064566922434755,0.05707369912977201,-0.030896827038330615
Pizza Puff,-0.04490650691367939,-0.9687485477027995,-0.1556786878388977,0.7208341779894177,0.001388252439302475,0.15559775344581217,-0.21219279269533545,0.012533048643335175,-0.004788336835587091,0.01960074220837833
Mc chicken Burger,1.7338894169191337,-0.2402921805047409,-0.036976779862956576,0.29462756431122933,0.8137982121310415,0.16583826290458903,0.2534217604927804,0.16111569318911878,0.24398701757615462,-0.05002753965421918
FILLET-O-FISH Burger,1.2524949179928015,-0.500622255822333,-0.10052536122480023,0.18731351093212864,0.3742164747604595,0.05310503080609103,0.3931729716912224,0.13861849673922552,0.3929929503761565,-0.025067240510053754
Mc Spicy Chicken Burger,2.747001546658251,-0.3748556192246336,-0.15145243771108557,-0.22413820224456976,0.5799426305294374,-0.15556065673187056,0.35671007997128307,0.17392469775386502,0.2818773419474975,-0.029599128799365413
Spicy Chicken Wrap,4.30530107651057,-0.34088273957124265,-0.3507854128170127,-0.057998376411731924,0.19729939504687746,0.1318491656957283,0.08042547334384127,0.24980734619766343,0.24264129027898607,-0.07458609457300594
Chicken Maharaja Mac,5.826587880610197,-0.04954445879597512,0.13916222197870365,-0.1204534670298977,1.2162448067174914,-1.0535030167077186,0.31657308143971885,-0.3906230955124915,0.0006005581372738459,0.022725146167968318
American Chicken Burger,2.7770890602741307,-0.45662814433544807,0.016851707032710116,0.10559040773596537,0.6939557068687292,-0.5673303758845498,0.11398330160985855,-0.1891828229699231,-0.02370153039965882,0.031594871069826065
Chicken Kebab Burger,0.8351514217812276,-0.16318341737024944,-0.013640343287714001,0.8592820786933892,0.6823322606396467,0.56329686547857,0.0052024739860920205,0.057747178724135886,0.19808918543248275,-0.02675405279933907
Green Chilli Kebab naan,-0.19631096193390346,-0.8014768361061368,-0.08020102383879923,0.508161778847589,0.48721313593236226,0.35209761244926807,-0.06027111993987635,0.027670820329218457,0.016186743117932972,-0.022270406299047814
Mc Egg Masala Burger,1.741726366222013,-1.2001055821399174,-0.8792209286815543,-3.1259417160885667,0.35607138477269484,0.6823030280073908,-0.42040465650661013,-0.05397551025861656,-0.13793919125135617,0.024740285688000997
Mc Egg Burger for Happy Meal,1.3797707836034052,-1.2024506103712629,-0.9424253885198955,-3.1445888780323954,-0.03060912338769863,0.8837006244179482,-0.1996561438174425,-0.16254614531728334,0.31095443720025584,0.07908348233056174
Ghee Rice with Mc Spicy Fried Chicken 1 pc,5.4235373009906525,0.10845214056571129,0.432311180637417,0.7850736474701783,3.0924269538426405,-0.2542774005596454,0.02292604593426735,0.05415893522636285,-0.836624928658983,-0.02166098884464677
McSpicy Fried Chicken 1 pc,0.9034290528932208,-1.6318083151367617,0.05272355140072427,-0.031503139123201684,0.8318117427231824,-0.971506321913275,0.2663166001089029,-0.18820431993231282,-0.02544818897612058,0.03157448507142084
4 piece Chicken McNuggets,-0.26743164137770614,-1.56343113888937,-0.18506327783792054,0.1305131800082802,-0.05837624973804468,-0.37696544472376375,0.10436004600300551,0.007703312003525315,0.2247994775018829,0.0376161166981565
6 piece Chicken McNuggets,0.81243630511314,-1.4435722094835588,-0.20487725982219146,0.10094147993916894,-0.15201919336516628,-0.5118530036218402,0.21856539358215873,0.013543716807284155,0.3313767271305121,0.039430546506003424
9 piece Chicken McNuggets,2.4330140106586584,-1.2631359630274885,-0.2372391642706158,0.057198743966416075,-0.29105061413814204,-0.7145115687604123,0.3902453025587316,0.020267783878920257,0.49208677828347125,0.041330674080637265
2 piece Chicken Strips,0.44649329969054774,-1.694569499705788,-0.39606373582965326,0.38543650643189054,-1.0981207091329543,-0.8307870638139916,-0.3635732059793732,0.35017904062489624,-0.1289550165358008,-0.012903345600541852
3 piece Chicken Strips,1.8842531324912999,-1.6398260706138597,-0.5227083624618005,0.48353470805766685,-1.7112954667881861,-1.1932326775455269,-0.48254314604927373,0.5265014406660213,-0.19876511728151564,-0.03697711568393171
5 piece Chicken Strips,2.6333379687033887,-3.2310457228055167,11.701083583434691,-1.2172398189104747,-0.7884959077139323,0.3827726852874716,-0.07554546444119398,0.07378002838616494,-0.007957156012220717,-8.018021241739435e-05
Regular Fries,-0.4428202069255964,-0.9660433805604872,-0.19742586499892728,0.8105153392509167,-0.06098752527382418,0.5181144417958948,-0.18810483429269972,-0.009294985474509401,0.29384893226578146,0.060677711798331424
Medium Fries,0.3824620854231573,-0.6178117835402829,-0.22071916933872973,1.068744646024834,-0.13929187653818437,0.7775307120633392,-0.21392420920313915,-0.011356566493107935,0.4116807529315133,0.07128260572597556
Large Fries,1.5425160717440467,-0.12847227851830076,-0.2538134394359531,1.4322242454084233,-0.24958392276873664,1.1425708261607541,-0.2515497087798331,-0.015367427637662294,0.5771726788708338,0.08663091122239688
Regular Wedges,-0.513596006292094,-0.9944085550077947,-0.12662283453779055,0.665890753797367,0.44151913292484735,0.41299289682045154,-0.15254829698310754,0.18700624221545978,0.021744240913836872,-0.009810400581038095
Medium Wedges,0.19232204397958833,-0.6960657029962032,-0.12153887496936211,0.8415258246927624,0.5575338434639858,0.6038480378384352,-0.16216471968079674,0.2561089948327449,0.026199792677190997,-0.02652057469916158
Large Wedges,1.200142389034909,-0.2696427464853723,-0.1135044090689574,1.092514949424755,0.7224275790301498,0.8772333506617942,-0.1765436860437117,0.35596797491609483,0.03174763679274752,-0.0500771047945551
L1 Coffee,-2.3901071183659823,-1.7583104692224367,-0.14534164992472684,0.20214108684960916,0.15457680769896204,-0.049836325015586436,-0.11611921159834251,0.015116290353574702,0.02288578635772226,0.028768482969992865
L1 Coffee with milk,-2.0766031979637987,-1.6169501870511063,-0.1555345736240921,0.15246850218499766,-0.08163070243371016,-0.11032217406476812,-0.053826364000969025,-0.08260382021311766,-0.044261388446750476,0.08367366791814287
Double Chocochips Muffin,0.5911073760309655,0.49804257639324395,-0.11342878983452884,0.5721468141263798,-0.5290017982032854,0.601229914962714,0.4077350742643357,-0.7130283078454346,-0.5992667131824126,0.12534015944662288
Vanilla Chocochips Muffin,0.7114308849284906,0.34974262832144043,-0.43434099836431767,-0.5594785357021511,-0.7404703343834237,0.9510216560277711,0.2689679324409694,-0.6441964101691994,-0.6310523879162702,0.1573560359026078
